topology: 3 4 1
error: 0 0.000922907 100
0 0 0 0.495939 1.30903e-07
0 0 1 0.53115 1.25186e-07
0 0 2 1.2668 1.15593e-07
0 0 3 0.65883 7.87392e-08
0 1 0 0.84386 9.6009e-08
0 1 1 0.614242 1.35248e-07
0 1 2 0.919902 2.13268e-07
0 1 3 0.832224 7.16845e-08
0 2 0 0.831162 1.53826e-07
0 2 1 1.05516 1.22173e-07
0 2 2 0.836546 3.65951e-07
0 2 3 0.63304 1.49282e-07
0 3 0 0.139154 -2.31472e-05
0 3 1 -0.0838548 -1.85467e-05
0 3 2 -0.291118 -2.99213e-05
0 3 3 0.153875 -1.72536e-05
1 0 0 1.27755 -2.17429e-06
1 1 0 1.01529 1.92453e-06
1 2 0 1.77274 5.66313e-06
1 3 0 0.95721 -2.45337e-06
1 4 0 0.26413 -1.81761e-05
